1000,0.284322
1000,0.281024
1000,0.283704
1000,0.278408
1000,0.280138
1500,1.427402
1500,1.437104
1500,1.429695
1500,1.424394
1500,1.421144
2000,5.142227
2000,5.092756
2000,5.098912
2000,5.112560
2000,5.110234
2500,13.530057
2500,13.757348
2500,13.454003
2500,13.430011
2500,13.049075
3000,30.582810
3000,30.950464
3000,31.908393
3000,31.378136
3000,31.295506
3500,56.534762
3500,56.059236
3500,57.154655
3500,56.170042
3500,56.654263
4000,94.083588
4000,91.236648
4000,94.321884
4000,93.883258
4000,94.327932
4500,138.706426
4500,137.386215
4500,143.914435
4500,138.661964
4500,143.422374
5000,198.742011
5000,205.959830
5000,198.416240
5000,197.101832
5000,197.944663
