1000,0.179565
1000,0.187799
1000,0.189059
1000,0.178070
1000,0.176186
1500,0.599625
1500,0.599126
1500,0.593362
1500,0.595326
1500,0.593679
2000,1.480457
2000,1.488917
2000,1.497813
2000,1.500435
2000,1.486055
2500,3.076235
2500,3.048586
2500,3.065674
2500,3.062757
2500,3.066660
3000,5.359210
3000,5.354497
3000,5.349048
3000,5.382658
3000,5.348684
3500,8.468227
3500,8.486245
3500,8.509690
3500,8.530425
3500,8.515254
4000,12.616825
4000,12.612359
4000,12.594143
4000,12.546209
4000,12.613879
4500,17.708579
4500,17.709394
4500,17.688028
4500,17.771415
4500,17.705721
5000,23.959572
5000,23.987468
5000,24.016605
5000,24.101826
5000,24.017919
